"173708 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1414,12 212,29 629,57 175 770000 0 0 3 ""8492"" 0 0 0 0 0 no "
"173955 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 2400,33 0 2400,33 175 710000 0 0 4 ""2411"" 0 0 0 0 0 no "
"173989 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 3823,24 0 2639,18 175 710000 0 0 0 ""1511"" 0 0 0 0 0 no "
"174052 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 873,48 0 542,34 175 710000 0 0 6 ""6962"" 0 0 0 0 0 no "
"174458 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1413,97 163,43 833,97 175 770000 0 0 0 ""4582"" 0 0 0 0 0 no "
"175430 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1292,76 0 889,16 175 710000 0 0 3 ""2411"" 0 0 0 0 0 no "
"175596 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 684,37 0 684,37 175 770000 0 0 1 ""2411"" 0 0 0 0 0 no "
"176016 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 659,23 0 259,6 175 760000 0 0 1 ""PKV"" 0 0 0 0 0 no "
"176339 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 609,51 44,26 257,64 175 770000 0 0 5 ""1511"" 0 0 0 0 0 no "
"176743 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 435,71 0 282,25 175 750000 0 0 1 ""3451"" 0 0 0 0 0 no "
"176933 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 477,53 0 177,98 175 760000 0 0 6 ""0472"" 0 0 0 0 0 no "
"177675 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1223,09 0 737,52 175 780000 0 0 3 ""1511"" 0 0 0 0 0 no "
"177873 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1137,55 0 1137,55 175 710000 0 0 0 ""0471"" 0 0 0 0 0 no "
"178079 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 537,22 0 267,86 175 760000 0 0 0 ""7181"" 0 0 0 0 0 no "
"178087 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 620,37 100,83 280,18 175 770000 0 0 0 ""151?"" 0 0 0 0 0 no "
"185694 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 337,34 0 337,34 175 760000 0 0 0 ""1422"" 0 0 0 0 0 no "
"186171 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 612,69 0 191,34 175 760000 0 0 0 """" 0 0 0 0 0 no "
"190447 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 282,86 0 282,86 177 740000 0 0 1 ""1511"" 0 0 0 0 0 no "
"191585 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 192,55 0 196 177 770000 0 0 0 ""3451"" 0 0 0 0 0 no "
"205732 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1308,15 0 494,35 175 760000 0 0 0 ""PKV"" 0 0 0 0 0 no "
"206722 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 598,98 44,74 227,58 175 770000 0 0 5 ""PKV"" 0 0 0 0 0 no "
"206870 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 826,01 0 264,41 175 760000 0 0 3 ""849?"" 0 0 0 0 0 no "
"206938 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 547 0 254,14 175 760000 0 0 6 ""8492"" 0 0 0 0 0 no "
"206987 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1069,97 0 402,2 175 760000 0 0 2 ""8492"" 0 0 0 0 0 no "
"207035 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1030,33 0 307,04 175 760000 0 0 6 ""2652"" 0 0 0 0 0 no "
"207464 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 467,09 0 467,09 175 760000 0 0 1 ""0471"" 0 0 0 0 0 no "
"207498 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1169,71 0 1169,71 175 710000 0 0 1 ""8491"" 0 0 0 0 0 no "
"207597 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 860,94 57,98 311,07 175 770000 0 0 ? ""151?"" 0 0 0 0 0 no "
"208272 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1502,63 0 506,09 175 760000 0 0 6 ""151?"" 0 0 0 0 0 no "
"208280 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 684,53 0 287,84 175 760000 0 0 0 ""1511"" 0 0 0 0 0 no "
"208397 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 676,45 0 220,18 175 760000 0 0 3 ""1511"" 0 0 0 0 0 no "
